produit,categorie,marque,prix_unitaire,promotion,volume_ventes,segment_client,canal_vente
Ballon Nike,Sport,Nike,36.92,Aucune,165,Budget,165
Canapé IKEA Ektorp,Maison,IKEA,302.83,Black Friday -40%,653,Première Commande,653
iPhone 15 Pro,Électronique,Apple,1258.47,Aucune,1560,Luxe,1560
Huile d'Olive Bio,Alimentation,Terra Bio,10.81,Aucune,382,Standard,382
Café Arabica,Alimentation,Lavazza,5.06,Soldes -30%,380,Budget,380
MacBook Air M3,Électronique,Apple,1412.9,Aucune,434,Luxe,434
Café Arabica,Alimentation,Lavazza,8.13,Aucune,427,Standard,427
Chocolat Lindt,Alimentation,Lindt,14.98,Aucune,176,Standard,176
Crème L'Oréal,Beauté,L'Oréal,23.05,Aucune,211,Budget,211
Samsung Galaxy S24,Électronique,Samsung,923.44,Aucune,623,Luxe,623
Ballon Nike,Sport,Nike,29.04,Soldes -20%,473,Standard,473
iPhone 15 Pro,Électronique,Apple,1216.41,Aucune,1881,Premium,1881
H&M T-Shirt,Mode,H&M,17.98,Aucune,222,Budget,222
Lampe Philips Hue,Maison,Philips,57.53,Aucune,275,Budget,275
H&M T-Shirt,Mode,H&M,20.67,Aucune,158,Standard,158
Vélo Décathlon,Sport,Décathlon,403.14,Aucune,168,Première Commande,168
Canapé IKEA Ektorp,Maison,IKEA,463.8,Aucune,159,Budget,159
H&M T-Shirt,Mode,H&M,13.45,Promo Flash -25%,209,Standard,209
Nike Air Max,Mode,Nike,120.17,Soldes -20%,624,Standard,624
Aspirateur Dyson V15,Maison,Dyson,499.65,Soldes -20%,1030,Standard,1030
Yaourt Nature,Alimentation,Danone,2.91,Aucune,99,Budget,99
Adidas Survêtement,Mode,Adidas,40.8,Soldes -50%,409,Premium,409
Lampe Philips Hue,Maison,Philips,56.97,Aucune,275,Premium,275
Aspirateur Dyson V15,Maison,Dyson,667.79,Aucune,423,Standard,423
MacBook Air M3,Électronique,Apple,919.44,Promo Flash -25%,1242,Premium,1242
MacBook Air M3,Électronique,Apple,1401.36,Aucune,543,Premium,543
Ballon Nike,Sport,Nike,33.25,Aucune,248,Standard,248
Samsung Galaxy S24,Électronique,Samsung,636.14,Soldes -30%,1864,Luxe,1864
AirPods Pro,Électronique,Apple,247.32,Aucune,492,Première Commande,492
Aspirateur Dyson V15,Maison,Dyson,553.21,Soldes -20%,974,Standard,974
Ballon Nike,Sport,Nike,33.45,Aucune,249,Budget,249
Chocolat Lindt,Alimentation,Lindt,9.4,Black Friday -40%,274,Standard,274
Parfum Chanel N°5,Beauté,Chanel,113.06,Aucune,701,Standard,701
Vélo Décathlon,Sport,Décathlon,400.97,Aucune,57,Budget,57
Parfum Chanel N°5,Beauté,Chanel,86.58,Soldes -30%,1350,Standard,1350
Parfum Chanel N°5,Beauté,Chanel,124.95,Aucune,387,Standard,387
Crème L'Oréal,Beauté,L'Oréal,27.46,Aucune,163,Budget,163
Chocolat Lindt,Alimentation,Lindt,10.02,Soldes -30%,123,Standard,123
Vélo Décathlon,Sport,Décathlon,431.27,Aucune,51,Budget,51
iPhone 15 Pro,Électronique,Apple,1284.4,Aucune,1636,Premium,1636
MacBook Air M3,Électronique,Apple,1257.98,Aucune,271,Premium,271
Aspirateur Dyson V15,Maison,Dyson,661.47,Aucune,269,Standard,269
PlayStation 5,Électronique,Sony,380.34,Promo Flash -25%,1513,Premium,1513
AirPods Pro,Électronique,Apple,160.31,Soldes -30%,1258,Budget,1258
Café Arabica,Alimentation,Lavazza,6.44,Soldes -20%,938,Budget,938
Canapé IKEA Ektorp,Maison,IKEA,370.8,Soldes -20%,487,Budget,487
Canapé IKEA Ektorp,Maison,IKEA,531.01,Aucune,251,Standard,251
Parfum Chanel N°5,Beauté,Chanel,116.6,Aucune,309,Budget,309
MacBook Air M3,Électronique,Apple,1173.45,Aucune,452,Premium,452
Crème L'Oréal,Beauté,L'Oréal,27.36,Aucune,154,Standard,154
Chocolat Lindt,Alimentation,Lindt,15.58,Aucune,285,Budget,285
Zara Veste Hiver,Mode,Zara,59.25,Soldes -30%,406,Premium,406
Lampe Philips Hue,Maison,Philips,53.59,Aucune,727,Standard,727
Adidas Survêtement,Mode,Adidas,72.2,Aucune,144,Standard,144
Nike Air Max,Mode,Nike,140.88,Aucune,638,Luxe,638
Aspirateur Dyson V15,Maison,Dyson,598.07,Aucune,460,Standard,460
Nike Air Max,Mode,Nike,94.57,Soldes -30%,1753,Standard,1753
Nike Air Max,Mode,Nike,96.84,Soldes -30%,799,Standard,799
Adidas Survêtement,Mode,Adidas,52.85,Promo Flash -25%,455,Standard,455
Huile d'Olive Bio,Alimentation,Terra Bio,9.07,Soldes -30%,349,Budget,349
Yaourt Nature,Alimentation,Danone,2.88,Aucune,58,Budget,58
Vélo Décathlon,Sport,Décathlon,234.27,Black Friday -40%,264,Standard,264
iPhone 15 Pro,Électronique,Apple,1093.94,Aucune,1349,Premium,1349
Yaourt Nature,Alimentation,Danone,3.2,Aucune,254,Budget,254
Canapé IKEA Ektorp,Maison,IKEA,428.8,Soldes -20%,317,Standard,317
Vélo Décathlon,Sport,Décathlon,376.36,Aucune,186,Standard,186
Lampe Philips Hue,Maison,Philips,55.12,Aucune,402,Première Commande,402
Ballon Nike,Sport,Nike,37.77,Aucune,110,Standard,110
PlayStation 5,Électronique,Sony,275.78,Black Friday -40%,381,Standard,381
PlayStation 5,Électronique,Sony,546.63,Aucune,546,Standard,546
Ballon Nike,Sport,Nike,34.63,Aucune,211,Budget,211
Café Arabica,Alimentation,Lavazza,8.09,Aucune,691,Standard,691
Huile d'Olive Bio,Alimentation,Terra Bio,12.7,Aucune,236,Standard,236
MacBook Air M3,Électronique,Apple,1344.85,Aucune,609,Premium,609
Huile d'Olive Bio,Alimentation,Terra Bio,12.46,Aucune,648,Budget,648
Ballon Nike,Sport,Nike,24.39,3 pour 2,233,Standard,233
Lampe Philips Hue,Maison,Philips,53.43,Aucune,528,Budget,528
Canapé IKEA Ektorp,Maison,IKEA,537.96,Aucune,67,Budget,67
Chocolat Lindt,Alimentation,Lindt,13.95,Aucune,246,Standard,246
Yaourt Nature,Alimentation,Danone,3.11,Aucune,117,Standard,117
Aspirateur Dyson V15,Maison,Dyson,384.91,Black Friday -40%,1624,Première Commande,1624
Chocolat Lindt,Alimentation,Lindt,10.81,Soldes -30%,175,Budget,175
H&M T-Shirt,Mode,H&M,20.5,Aucune,253,Standard,253
H&M T-Shirt,Mode,H&M,17.46,Aucune,296,Budget,296
MacBook Air M3,Électronique,Apple,1400.66,Aucune,485,Luxe,485
Lampe Philips Hue,Maison,Philips,54.67,Aucune,547,Budget,547
Vélo Décathlon,Sport,Décathlon,417.37,Aucune,121,Budget,121
Vélo Décathlon,Sport,Décathlon,377.14,Aucune,124,Budget,124
Lampe Philips Hue,Maison,Philips,54.34,Aucune,340,Premium,340
Nike Air Max,Mode,Nike,133.06,Aucune,738,Budget,738
Café Arabica,Alimentation,Lavazza,8.65,Aucune,662,Budget,662
Lampe Philips Hue,Maison,Philips,53.77,Aucune,398,Budget,398
Café Arabica,Alimentation,Lavazza,7.79,Aucune,390,Standard,390
Samsung Galaxy S24,Électronique,Samsung,540.04,Black Friday -40%,760,Luxe,760
Huile d'Olive Bio,Alimentation,Terra Bio,12.27,Aucune,438,Standard,438
Parfum Chanel N°5,Beauté,Chanel,111.63,Aucune,549,Premium,549
iPhone 15 Pro,Électronique,Apple,1088.23,Aucune,1547,Premium,1547
Vélo Décathlon,Sport,Décathlon,382.68,Aucune,87,Luxe,87
PlayStation 5,Électronique,Sony,510.42,Aucune,481,Standard,481
Chocolat Lindt,Alimentation,Lindt,15.99,Aucune,81,Standard,81
Nike Air Max,Mode,Nike,142.89,Aucune,453,Luxe,453
Chocolat Lindt,Alimentation,Lindt,10.96,3 pour 2,232,Standard,232
Crème L'Oréal,Beauté,L'Oréal,25.5,Aucune,160,Standard,160
Crème L'Oréal,Beauté,L'Oréal,23.82,Aucune,283,Budget,283
Lampe Philips Hue,Maison,Philips,44.33,Soldes -30%,1132,Budget,1132
Huile d'Olive Bio,Alimentation,Terra Bio,12.1,Aucune,207,Budget,207
Chocolat Lindt,Alimentation,Lindt,14.69,Aucune,259,Budget,259
Yaourt Nature,Alimentation,Danone,3.03,Aucune,114,Standard,114
iPhone 15 Pro,Électronique,Apple,1123.53,Aucune,1468,Premium,1468
Chocolat Lindt,Alimentation,Lindt,16.45,Aucune,91,Standard,91
Crème L'Oréal,Beauté,L'Oréal,19.0,Soldes -30%,144,Budget,144
Samsung Galaxy S24,Électronique,Samsung,813.09,Aucune,780,Premium,780
AirPods Pro,Électronique,Apple,148.8,Cyber Monday -35%,830,Standard,830
Café Arabica,Alimentation,Lavazza,8.55,Aucune,776,Standard,776
Vélo Décathlon,Sport,Décathlon,385.77,Aucune,258,Luxe,258
MacBook Air M3,Électronique,Apple,1205.47,Aucune,441,Premium,441
Yaourt Nature,Alimentation,Danone,2.08,Promo Flash -25%,552,Standard,552
Yaourt Nature,Alimentation,Danone,3.06,Aucune,188,Budget,188
H&M T-Shirt,Mode,H&M,18.07,Aucune,132,Budget,132
H&M T-Shirt,Mode,H&M,19.42,Aucune,154,Budget,154
Crème L'Oréal,Beauté,L'Oréal,24.58,Aucune,129,Budget,129
Samsung Galaxy S24,Électronique,Samsung,825.54,Aucune,444,Premium,444
Café Arabica,Alimentation,Lavazza,8.14,Aucune,685,Budget,685
Samsung Galaxy S24,Électronique,Samsung,685.94,Soldes -20%,1127,Premium,1127
Huile d'Olive Bio,Alimentation,Terra Bio,12.65,Aucune,208,Budget,208
Yaourt Nature,Alimentation,Danone,3.18,Aucune,271,Budget,271
iPhone 15 Pro,Électronique,Apple,828.62,Cyber Monday -35%,1265,Premium,1265
AirPods Pro,Électronique,Apple,230.98,Aucune,604,Budget,604
Zara Veste Hiver,Mode,Zara,97.48,Aucune,245,Budget,245
Chocolat Lindt,Alimentation,Lindt,10.25,2ème à -50%,381,Budget,381
AirPods Pro,Électronique,Apple,235.66,Aucune,319,Standard,319
MacBook Air M3,Électronique,Apple,1041.69,2ème à -50%,649,Premium,649
Ballon Nike,Sport,Nike,34.9,Aucune,246,Standard,246
Nike Air Max,Mode,Nike,145.11,Aucune,587,Standard,587
Nike Air Max,Mode,Nike,126.14,Aucune,609,Luxe,609
Zara Veste Hiver,Mode,Zara,82.44,Aucune,113,Premium,113
Samsung Galaxy S24,Électronique,Samsung,894.59,Aucune,300,Premium,300
Adidas Survêtement,Mode,Adidas,72.12,Aucune,283,Standard,283
Lampe Philips Hue,Maison,Philips,61.32,Aucune,635,Luxe,635
Nike Air Max,Mode,Nike,135.79,Aucune,617,Premium,617
Ballon Nike,Sport,Nike,35.31,Aucune,136,Budget,136
Nike Air Max,Mode,Nike,127.77,Aucune,470,Standard,470
MacBook Air M3,Électronique,Apple,1401.64,Aucune,282,Luxe,282
Nike Air Max,Mode,Nike,134.72,Aucune,200,Standard,200
iPhone 15 Pro,Électronique,Apple,1079.15,Aucune,1765,Premium,1765
Samsung Galaxy S24,Électronique,Samsung,850.79,Aucune,345,Luxe,345
PlayStation 5,Électronique,Sony,432.56,Soldes -20%,711,Budget,711
Huile d'Olive Bio,Alimentation,Terra Bio,12.91,Aucune,219,Standard,219
Zara Veste Hiver,Mode,Zara,93.53,Aucune,264,Budget,264
Canapé IKEA Ektorp,Maison,IKEA,489.37,Aucune,256,Standard,256
Canapé IKEA Ektorp,Maison,IKEA,467.56,Aucune,140,Première Commande,140
Vélo Décathlon,Sport,Décathlon,289.08,2ème à -50%,207,Budget,207
Vélo Décathlon,Sport,Décathlon,250.34,Cyber Monday -35%,157,Budget,157
H&M T-Shirt,Mode,H&M,13.43,Promo Flash -25%,528,Budget,528
Yaourt Nature,Alimentation,Danone,2.94,Aucune,91,Budget,91
Adidas Survêtement,Mode,Adidas,38.59,Soldes -50%,272,Première Commande,272
Samsung Galaxy S24,Électronique,Samsung,571.79,Soldes -30%,706,Premium,706
MacBook Air M3,Électronique,Apple,1065.73,Soldes -20%,1732,Premium,1732
Aspirateur Dyson V15,Maison,Dyson,671.25,Aucune,694,Standard,694
Vélo Décathlon,Sport,Décathlon,378.05,Aucune,224,Luxe,224
Aspirateur Dyson V15,Maison,Dyson,645.28,Aucune,510,Standard,510
Samsung Galaxy S24,Électronique,Samsung,962.59,Aucune,252,Premium,252
AirPods Pro,Électronique,Apple,266.38,Aucune,687,Standard,687
Café Arabica,Alimentation,Lavazza,7.58,Aucune,248,Budget,248
Parfum Chanel N°5,Beauté,Chanel,116.93,Aucune,771,Luxe,771
Canapé IKEA Ektorp,Maison,IKEA,498.92,Aucune,171,Standard,171
MacBook Air M3,Électronique,Apple,1260.46,Aucune,657,Premium,657
MacBook Air M3,Électronique,Apple,1425.2,Aucune,403,Luxe,403
Huile d'Olive Bio,Alimentation,Terra Bio,10.95,Aucune,478,Standard,478
Aspirateur Dyson V15,Maison,Dyson,621.99,Aucune,329,Première Commande,329
Parfum Chanel N°5,Beauté,Chanel,129.55,Aucune,351,Standard,351
iPhone 15 Pro,Électronique,Apple,1084.4,Aucune,1000,Luxe,1000
Chocolat Lindt,Alimentation,Lindt,15.6,Aucune,284,Budget,284
Crème L'Oréal,Beauté,L'Oréal,24.14,Aucune,168,Budget,168
Café Arabica,Alimentation,Lavazza,7.33,Aucune,364,Standard,364
MacBook Air M3,Électronique,Apple,1220.15,Aucune,393,Luxe,393
Aspirateur Dyson V15,Maison,Dyson,618.51,Aucune,255,Premium,255
Vélo Décathlon,Sport,Décathlon,318.07,Soldes -20%,445,Premium,445
Nike Air Max,Mode,Nike,131.38,Aucune,561,Standard,561
Huile d'Olive Bio,Alimentation,Terra Bio,12.75,Aucune,431,Standard,431
Chocolat Lindt,Alimentation,Lindt,14.54,Aucune,131,Budget,131
Chocolat Lindt,Alimentation,Lindt,12.85,Soldes -20%,240,Budget,240
Zara Veste Hiver,Mode,Zara,88.71,Aucune,259,Premium,259
Ballon Nike,Sport,Nike,34.15,Aucune,150,Budget,150
Zara Veste Hiver,Mode,Zara,87.89,Aucune,59,Standard,59
Aspirateur Dyson V15,Maison,Dyson,629.56,Aucune,338,Luxe,338
Samsung Galaxy S24,Électronique,Samsung,917.12,Aucune,578,Luxe,578
Samsung Galaxy S24,Électronique,Samsung,826.3,Aucune,303,Premium,303
MacBook Air M3,Électronique,Apple,1390.46,Aucune,259,Premium,259
iPhone 15 Pro,Électronique,Apple,1081.63,Aucune,1776,Luxe,1776
Yaourt Nature,Alimentation,Danone,3.09,Aucune,127,Standard,127
MacBook Air M3,Électronique,Apple,810.74,Cyber Monday -35%,612,Premium,612
Zara Veste Hiver,Mode,Zara,67.06,Soldes -20%,293,Standard,293
Lampe Philips Hue,Maison,Philips,53.54,Aucune,580,Première Commande,580
Zara Veste Hiver,Mode,Zara,96.86,Aucune,118,Budget,118
Vélo Décathlon,Sport,Décathlon,375.44,Aucune,146,Standard,146
Crème L'Oréal,Beauté,L'Oréal,22.73,Aucune,207,Standard,207
iPhone 15 Pro,Électronique,Apple,1260.43,Aucune,1412,Premium,1412
Huile d'Olive Bio,Alimentation,Terra Bio,11.69,Aucune,772,Standard,772
Nike Air Max,Mode,Nike,103.79,Soldes -30%,812,Standard,812
Lampe Philips Hue,Maison,Philips,58.06,Aucune,630,Luxe,630
Chocolat Lindt,Alimentation,Lindt,14.93,Aucune,299,Budget,299
PlayStation 5,Électronique,Sony,402.52,Promo Flash -25%,416,Standard,416
Yaourt Nature,Alimentation,Danone,1.97,Soldes -30%,195,Standard,195
Huile d'Olive Bio,Alimentation,Terra Bio,11.9,Aucune,470,Standard,470
Samsung Galaxy S24,Électronique,Samsung,938.64,Aucune,223,Premium,223
H&M T-Shirt,Mode,H&M,12.17,Cyber Monday -35%,556,Budget,556
Nike Air Max,Mode,Nike,151.45,Aucune,767,Premium,767
AirPods Pro,Électronique,Apple,231.21,Aucune,367,Premium,367
Adidas Survêtement,Mode,Adidas,74.21,Aucune,68,Luxe,68
Lampe Philips Hue,Maison,Philips,64.25,Aucune,745,Première Commande,745
Huile d'Olive Bio,Alimentation,Terra Bio,13.11,Aucune,354,Standard,354
Zara Veste Hiver,Mode,Zara,89.59,Aucune,263,Budget,263
Vélo Décathlon,Sport,Décathlon,367.38,Aucune,83,Luxe,83
Samsung Galaxy S24,Électronique,Samsung,871.48,Aucune,490,Premium,490
Samsung Galaxy S24,Électronique,Samsung,842.81,Aucune,286,Premium,286
Crème L'Oréal,Beauté,L'Oréal,25.77,Aucune,281,Budget,281
Adidas Survêtement,Mode,Adidas,80.51,Aucune,111,Luxe,111
Chocolat Lindt,Alimentation,Lindt,9.79,Soldes -30%,125,Standard,125
Huile d'Olive Bio,Alimentation,Terra Bio,8.1,Soldes -30%,1109,Budget,1109
Vélo Décathlon,Sport,Décathlon,244.54,Black Friday -40%,550,Premium,550
Crème L'Oréal,Beauté,L'Oréal,24.05,Aucune,67,Budget,67
iPhone 15 Pro,Électronique,Apple,1109.23,Aucune,858,Premium,858
Nike Air Max,Mode,Nike,153.34,Aucune,344,Standard,344
H&M T-Shirt,Mode,H&M,17.45,Aucune,95,Standard,95
Yaourt Nature,Alimentation,Danone,2.95,Aucune,126,Budget,126
AirPods Pro,Électronique,Apple,258.61,Aucune,597,Premium,597
Lampe Philips Hue,Maison,Philips,41.87,Soldes -30%,1402,Standard,1402
Yaourt Nature,Alimentation,Danone,3.0,Aucune,130,Budget,130
Parfum Chanel N°5,Beauté,Chanel,83.25,Soldes -30%,738,Premium,738
Parfum Chanel N°5,Beauté,Chanel,123.51,Aucune,220,Standard,220
Huile d'Olive Bio,Alimentation,Terra Bio,11.44,Aucune,332,Budget,332
Yaourt Nature,Alimentation,Danone,1.79,Black Friday -40%,332,Budget,332
Huile d'Olive Bio,Alimentation,Terra Bio,9.07,Soldes -30%,1619,Standard,1619
Vélo Décathlon,Sport,Décathlon,393.95,Aucune,213,Premium,213
Zara Veste Hiver,Mode,Zara,97.45,Aucune,211,Premium,211
Zara Veste Hiver,Mode,Zara,93.77,Aucune,74,Standard,74
Adidas Survêtement,Mode,Adidas,73.9,Aucune,127,Premium,127
Parfum Chanel N°5,Beauté,Chanel,131.55,Aucune,649,Premium,649
Canapé IKEA Ektorp,Maison,IKEA,308.71,Black Friday -40%,255,Budget,255
Nike Air Max,Mode,Nike,149.49,Aucune,530,Première Commande,530
Ballon Nike,Sport,Nike,35.1,Aucune,195,Standard,195
PlayStation 5,Électronique,Sony,374.31,Soldes -20%,1459,Luxe,1459
Adidas Survêtement,Mode,Adidas,71.76,Aucune,115,Budget,115
Huile d'Olive Bio,Alimentation,Terra Bio,11.29,Aucune,277,Standard,277
Ballon Nike,Sport,Nike,33.9,Aucune,244,Standard,244
AirPods Pro,Électronique,Apple,248.86,Aucune,211,Première Commande,211
MacBook Air M3,Électronique,Apple,1083.31,Soldes -20%,1691,Premium,1691
Lampe Philips Hue,Maison,Philips,61.99,Aucune,544,Standard,544
AirPods Pro,Électronique,Apple,244.29,Aucune,376,Standard,376
Zara Veste Hiver,Mode,Zara,71.81,Promo Flash -25%,231,Premium,231
MacBook Air M3,Électronique,Apple,998.41,Soldes -20%,739,Luxe,739
PlayStation 5,Électronique,Sony,465.75,Aucune,412,Budget,412
Zara Veste Hiver,Mode,Zara,64.33,Soldes -20%,156,Premium,156
Aspirateur Dyson V15,Maison,Dyson,711.3,Aucune,346,Budget,346
Lampe Philips Hue,Maison,Philips,58.39,Aucune,246,Standard,246
AirPods Pro,Électronique,Apple,267.66,Aucune,240,Budget,240
Canapé IKEA Ektorp,Maison,IKEA,480.61,Aucune,164,Luxe,164
MacBook Air M3,Électronique,Apple,1274.37,Aucune,210,Luxe,210
Nike Air Max,Mode,Nike,128.15,Aucune,342,Budget,342
Yaourt Nature,Alimentation,Danone,2.3,Soldes -30%,403,Budget,403
Aspirateur Dyson V15,Maison,Dyson,650.89,Aucune,282,Premium,282
Chocolat Lindt,Alimentation,Lindt,11.1,Soldes -30%,377,Standard,377
Nike Air Max,Mode,Nike,142.3,Aucune,580,Standard,580
Chocolat Lindt,Alimentation,Lindt,14.73,Aucune,86,Budget,86
Crème L'Oréal,Beauté,L'Oréal,14.54,Black Friday -40%,212,Budget,212
Vélo Décathlon,Sport,Décathlon,215.87,Black Friday -40%,115,Standard,115
Canapé IKEA Ektorp,Maison,IKEA,547.13,Aucune,160,Standard,160
Canapé IKEA Ektorp,Maison,IKEA,535.63,Aucune,101,Standard,101
Lampe Philips Hue,Maison,Philips,58.83,Aucune,680,Standard,680
Huile d'Olive Bio,Alimentation,Terra Bio,11.0,Aucune,699,Standard,699
Vélo Décathlon,Sport,Décathlon,369.42,Aucune,161,Standard,161
iPhone 15 Pro,Électronique,Apple,1283.68,Aucune,1898,Luxe,1898
Parfum Chanel N°5,Beauté,Chanel,125.16,Aucune,777,Standard,777
Crème L'Oréal,Beauté,L'Oréal,23.0,Aucune,105,Standard,105
MacBook Air M3,Électronique,Apple,1067.31,Soldes -20%,755,Premium,755
Vélo Décathlon,Sport,Décathlon,391.65,Aucune,57,Budget,57
Nike Air Max,Mode,Nike,147.55,Aucune,768,Standard,768
H&M T-Shirt,Mode,H&M,18.4,Aucune,185,Budget,185
AirPods Pro,Électronique,Apple,113.29,Soldes -50%,906,Premium,906
Adidas Survêtement,Mode,Adidas,40.63,Black Friday -40%,639,Budget,639
Nike Air Max,Mode,Nike,135.06,Aucune,715,Premium,715
AirPods Pro,Électronique,Apple,253.23,Aucune,271,Standard,271
Samsung Galaxy S24,Électronique,Samsung,832.92,Aucune,253,Luxe,253
Lampe Philips Hue,Maison,Philips,41.22,Cyber Monday -35%,994,Budget,994
Adidas Survêtement,Mode,Adidas,78.95,Aucune,61,Standard,61
Aspirateur Dyson V15,Maison,Dyson,527.64,Soldes -20%,868,Budget,868
Crème L'Oréal,Beauté,L'Oréal,24.95,Aucune,133,Budget,133
MacBook Air M3,Électronique,Apple,1326.17,Aucune,786,Luxe,786
Parfum Chanel N°5,Beauté,Chanel,54.42,Soldes -50%,777,Standard,777
Ballon Nike,Sport,Nike,21.97,Black Friday -40%,297,Standard,297
Yaourt Nature,Alimentation,Danone,2.41,Promo Flash -25%,211,Budget,211
Lampe Philips Hue,Maison,Philips,54.56,Aucune,392,Première Commande,392
MacBook Air M3,Électronique,Apple,1426.07,Aucune,231,Luxe,231
Lampe Philips Hue,Maison,Philips,60.21,Aucune,552,Luxe,552
Chocolat Lindt,Alimentation,Lindt,9.49,Soldes -30%,466,Budget,466
AirPods Pro,Électronique,Apple,209.42,Soldes -20%,1332,Budget,1332
Café Arabica,Alimentation,Lavazza,7.25,Aucune,281,Budget,281
Yaourt Nature,Alimentation,Danone,1.62,Soldes -50%,416,Budget,416
iPhone 15 Pro,Électronique,Apple,968.59,Promo Flash -25%,2713,Premium,2713
Parfum Chanel N°5,Beauté,Chanel,108.38,Aucune,354,Premium,354
Canapé IKEA Ektorp,Maison,IKEA,414.52,Soldes -20%,129,Première Commande,129
MacBook Air M3,Électronique,Apple,1368.44,Aucune,389,Luxe,389
PlayStation 5,Électronique,Sony,484.1,Aucune,292,Premium,292
H&M T-Shirt,Mode,H&M,17.82,Aucune,80,Standard,80
Zara Veste Hiver,Mode,Zara,44.44,Soldes -50%,172,Standard,172
Zara Veste Hiver,Mode,Zara,81.79,Aucune,201,Budget,201
Chocolat Lindt,Alimentation,Lindt,15.17,Aucune,78,Budget,78
Canapé IKEA Ektorp,Maison,IKEA,547.98,Aucune,97,Première Commande,97
Nike Air Max,Mode,Nike,128.73,Aucune,410,Standard,410
H&M T-Shirt,Mode,H&M,18.07,Aucune,256,Standard,256
Samsung Galaxy S24,Électronique,Samsung,711.21,Soldes -20%,618,Luxe,618
Crème L'Oréal,Beauté,L'Oréal,26.91,Aucune,127,Budget,127
Parfum Chanel N°5,Beauté,Chanel,111.93,Aucune,208,Luxe,208
Aspirateur Dyson V15,Maison,Dyson,671.16,Aucune,760,Budget,760
Vélo Décathlon,Sport,Décathlon,399.76,Aucune,98,Standard,98
Parfum Chanel N°5,Beauté,Chanel,108.9,Aucune,505,Premium,505
PlayStation 5,Électronique,Sony,538.95,Aucune,603,Luxe,603
Café Arabica,Alimentation,Lavazza,8.32,Aucune,305,Standard,305
H&M T-Shirt,Mode,H&M,20.73,Aucune,262,Budget,262
Crème L'Oréal,Beauté,L'Oréal,25.41,Aucune,257,Budget,257
Lampe Philips Hue,Maison,Philips,61.09,Aucune,548,Premium,548
Café Arabica,Alimentation,Lavazza,7.24,Aucune,577,Budget,577
H&M T-Shirt,Mode,H&M,18.67,Aucune,119,Budget,119
Huile d'Olive Bio,Alimentation,Terra Bio,11.86,Aucune,549,Budget,549
Nike Air Max,Mode,Nike,140.34,Aucune,411,Premium,411
Chocolat Lindt,Alimentation,Lindt,15.82,Aucune,271,Budget,271
AirPods Pro,Électronique,Apple,271.29,Aucune,554,Luxe,554
Nike Air Max,Mode,Nike,141.74,Aucune,275,Premium,275
Vélo Décathlon,Sport,Décathlon,251.19,3 pour 2,189,Premium,189
Aspirateur Dyson V15,Maison,Dyson,430.34,Cyber Monday -35%,1456,Première Commande,1456
Crème L'Oréal,Beauté,L'Oréal,26.76,Aucune,231,Budget,231
Adidas Survêtement,Mode,Adidas,78.21,Aucune,182,Standard,182
Vélo Décathlon,Sport,Décathlon,391.48,Aucune,173,Premium,173
Yaourt Nature,Alimentation,Danone,2.88,Aucune,82,Budget,82
Parfum Chanel N°5,Beauté,Chanel,131.11,Aucune,704,Standard,704
Yaourt Nature,Alimentation,Danone,3.21,Aucune,261,Budget,261
Yaourt Nature,Alimentation,Danone,3.15,Aucune,206,Standard,206
AirPods Pro,Électronique,Apple,205.37,Promo Flash -25%,1710,Premium,1710
Zara Veste Hiver,Mode,Zara,95.55,Aucune,205,Standard,205
Zara Veste Hiver,Mode,Zara,97.53,Aucune,235,Standard,235
Samsung Galaxy S24,Électronique,Samsung,810.63,Aucune,419,Luxe,419
iPhone 15 Pro,Électronique,Apple,852.21,Soldes -30%,3187,Premium,3187
PlayStation 5,Électronique,Sony,512.65,Aucune,236,Standard,236
iPhone 15 Pro,Électronique,Apple,753.87,Black Friday -40%,2554,Premium,2554
Canapé IKEA Ektorp,Maison,IKEA,510.6,Aucune,57,Première Commande,57
Ballon Nike,Sport,Nike,32.99,Aucune,254,Standard,254
Yaourt Nature,Alimentation,Danone,2.73,Aucune,197,Budget,197
Nike Air Max,Mode,Nike,137.38,Aucune,691,Budget,691
Zara Veste Hiver,Mode,Zara,87.9,Aucune,286,Standard,286
Adidas Survêtement,Mode,Adidas,73.61,Aucune,224,Standard,224
Huile d'Olive Bio,Alimentation,Terra Bio,11.25,Aucune,318,Budget,318
Café Arabica,Alimentation,Lavazza,7.6,Aucune,377,Budget,377
PlayStation 5,Électronique,Sony,482.23,Aucune,278,Standard,278
Yaourt Nature,Alimentation,Danone,3.06,Aucune,115,Standard,115
AirPods Pro,Électronique,Apple,250.47,Aucune,609,Luxe,609
Huile d'Olive Bio,Alimentation,Terra Bio,12.73,Aucune,597,Budget,597
Zara Veste Hiver,Mode,Zara,80.17,Aucune,249,Standard,249
Yaourt Nature,Alimentation,Danone,2.76,Aucune,264,Budget,264
Zara Veste Hiver,Mode,Zara,88.44,Aucune,236,Standard,236
H&M T-Shirt,Mode,H&M,17.44,Aucune,105,Budget,105
PlayStation 5,Électronique,Sony,389.88,Promo Flash -25%,611,Luxe,611
Huile d'Olive Bio,Alimentation,Terra Bio,8.33,3 pour 2,590,Budget,590
Adidas Survêtement,Mode,Adidas,70.16,Aucune,199,Premium,199
Aspirateur Dyson V15,Maison,Dyson,651.61,Aucune,372,Premium,372
Vélo Décathlon,Sport,Décathlon,382.02,Aucune,63,Standard,63
